iteration_id,stage_name,plan_success,exec_success,plan_time_ms,exec_time_ms,retries_used,fail_reason,timestamp
1,home,0,0,8001.39,0.00,2,PLAN_FAIL,1768741241.156
1,home,0,0,2.08,0.00,2,PLAN_FAIL,1768741327.673
1,home,0,0,8001.27,0.00,2,PLAN_FAIL,1768744801.375
1,home,0,0,8002.02,0.00,2,PLAN_FAIL,1768744949.145
2,home,0,0,8002.42,0.00,2,PLAN_FAIL,1768744974.160
3,home,0,0,2.64,0.00,2,PLAN_FAIL,1768744977.990
1,home,0,0,6.62,0.00,2,PLAN_FAIL,1768749223.458
1,home,1,1,23.50,2507.82,0,SUCCESS,1768749389.201
1,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749396.713
1,home,1,1,22.50,2505.13,0,SUCCESS,1768749445.501
1,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749453.014
1,home,1,1,22.96,2504.98,0,SUCCESS,1768749622.798
1,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749630.311
2,home,1,1,17.60,304.36,0,SUCCESS,1768749631.635
2,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749639.149
3,home,1,1,4.65,252.18,0,SUCCESS,1768749640.407
3,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749647.920
4,home,1,1,6.82,258.82,0,SUCCESS,1768749649.188
4,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749656.702
5,home,1,1,15.48,302.49,0,SUCCESS,1768749658.022
5,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749665.535
6,home,1,1,7.56,203.65,0,SUCCESS,1768749666.748
6,reset_object,0,0,0.00,0.00,2,EXEC_FAIL,1768749674.262
7,home,1,1,27.92,260.08,0,SUCCESS,1768749675.551
1,home,1,1,19.96,2554.50,0,SUCCESS,1768749865.013
1,reset_object,0,0,0.00,0.00,2,TIMEOUT,1768749902.568
1,home,1,1,12.94,2555.49,0,SUCCESS,1768750308.248
1,reset_object,0,0,0.00,0.00,2,TIMEOUT,1768750360.830
1,home,1,1,26.27,2505.99,0,SUCCESS,1768750617.204
1,home,1,1,22.34,2557.93,0,SUCCESS,1768750639.003
1,reset_object,0,0,0.00,0.00,2,TIMEOUT,1768750691.585
1,home,1,1,28.41,2555.02,0,SUCCESS,1768751119.989
1,reset_object,0,0,0.00,0.00,2,TIMEOUT,1768751172.570
1,home,1,1,14.91,2508.61,0,SUCCESS,1768751732.126
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768751732.127
1,pre_grasp,0,0,5236.80,0.00,2,PLAN_FAIL,1768751749.319
1,home,1,1,20.29,2508.43,0,SUCCESS,1768752031.336
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752031.337
1,pre_grasp,0,0,5234.20,0.00,2,PLAN_FAIL,1768752048.542
1,home,1,1,27.13,2556.17,0,SUCCESS,1768752217.490
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752217.491
1,pre_grasp,0,0,5226.17,0.00,2,PLAN_FAIL,1768752234.680
1,home,1,1,22.22,2554.29,0,SUCCESS,1768752355.359
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752355.360
1,pre_grasp,1,1,4341.55,2555.48,0,SUCCESS,1768752362.258
1,grasp,1,1,4736.40,3252.54,0,SUCCESS,1768752370.247
1,close_gripper,1,1,17.48,253.22,1,SUCCESS,1768752371.041
1,attach,1,1,0.00,0.00,0,SUCCESS,1768752371.041
1,lift,0,0,5225.68,0.00,2,PLAN_FAIL,1768752388.223
1,home,1,1,23.49,2505.38,0,SUCCESS,1768752486.277
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752486.278
1,pre_grasp,1,1,536.40,2753.26,0,SUCCESS,1768752489.568
1,grasp,1,1,3756.52,5952.93,1,SUCCESS,1768752505.011
1,close_gripper,1,1,16.10,153.80,0,SUCCESS,1768752505.182
1,attach,1,1,0.00,0.00,0,SUCCESS,1768752505.182
1,lift,1,1,961.18,6102.28,0,SUCCESS,1768752512.245
1,home,1,1,10.86,2505.05,0,SUCCESS,1768752612.842
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752612.843
1,pre_grasp,1,1,3034.54,3154.50,0,SUCCESS,1768752619.033
1,grasp,1,1,3656.05,3253.67,0,SUCCESS,1768752625.943
1,close_gripper,1,1,25.61,210.03,0,SUCCESS,1768752626.179
1,attach,1,1,0.00,0.00,0,SUCCESS,1768752626.180
1,lift,1,1,2070.71,2253.86,0,SUCCESS,1768752630.504
1,pre_place,1,1,1241.30,6753.71,0,SUCCESS,1768752638.500
1,place,1,1,938.77,5510.71,0,SUCCESS,1768752644.950
1,open_gripper,1,1,32.60,502.73,0,SUCCESS,1768752645.486
1,detach,1,1,0.00,0.00,0,SUCCESS,1768752645.486
1,retreat,1,1,641.90,3003.24,0,SUCCESS,1768752649.132
1,home,1,1,26.69,2559.59,0,SUCCESS,1768752669.467
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768752669.469
1,pre_grasp,1,1,424.89,4703.90,0,SUCCESS,1768752674.599
1,grasp,1,1,647.54,2153.28,2,SUCCESS,1768752695.752
1,close_gripper,1,1,22.39,152.02,0,SUCCESS,1768752695.927
1,attach,1,1,0.00,0.00,0,SUCCESS,1768752695.927
1,lift,1,1,826.44,2003.18,0,SUCCESS,1768752698.757
1,pre_place,1,1,1340.18,5103.47,0,SUCCESS,1768752705.201
1,place,1,1,1998.81,1752.73,0,SUCCESS,1768752708.953
1,open_gripper,1,1,24.99,502.34,0,SUCCESS,1768752709.480
1,detach,1,1,0.00,0.00,0,SUCCESS,1768752709.481
1,retreat,1,1,746.29,4352.44,0,SUCCESS,1768752714.580
1,home,1,1,26.77,2505.36,0,SUCCESS,1768753940.456
1,reset_object,1,1,0.00,0.00,0,SUCCESS,1768753940.457
1,pre_grasp,1,1,442.62,4203.07,0,SUCCESS,1768753945.103
1,grasp,1,1,1077.42,7254.26,1,SUCCESS,1768753959.343
1,close_gripper,1,1,24.86,206.28,0,SUCCESS,1768753959.574
1,attach,1,1,0.00,0.00,0,SUCCESS,1768753959.575
1,lift,1,1,1225.55,4653.09,0,SUCCESS,1768753965.454
1,pre_place,1,1,3230.81,2953.28,0,SUCCESS,1768753971.638
1,place,1,1,632.64,3257.59,0,SUCCESS,1768753975.529
1,open_gripper,1,1,20.52,503.83,0,SUCCESS,1768753976.054
1,detach,1,1,0.00,0.00,0,SUCCESS,1768753976.054
1,retreat,1,1,640.55,8552.54,0,SUCCESS,1768753985.248
2,home,1,1,16.42,4956.56,0,SUCCESS,1768753991.222
2,reset_object,1,1,0.00,0.00,0,SUCCESS,1768753991.224
2,pre_grasp,1,1,1648.30,2654.01,0,SUCCESS,1768753995.526
2,grasp,1,1,4244.52,3652.82,0,SUCCESS,1768754003.424
2,close_gripper,1,1,23.06,453.07,0,SUCCESS,1768754003.900
2,attach,1,1,0.00,0.00,0,SUCCESS,1768754003.901
2,lift,1,1,719.97,2202.66,0,SUCCESS,1768754006.824
2,pre_place,1,1,421.65,3853.66,0,SUCCESS,1768754011.099
2,place,1,1,3237.44,806.66,0,SUCCESS,1768754015.144
2,open_gripper,1,1,24.09,453.90,0,SUCCESS,1768754015.622
2,detach,1,1,0.00,0.00,0,SUCCESS,1768754015.622
2,retreat,1,1,1539.94,2556.06,0,SUCCESS,1768754019.719
3,home,1,1,24.00,2903.00,0,SUCCESS,1768754023.647
3,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754023.648
3,pre_grasp,1,1,430.66,2904.45,0,SUCCESS,1768754026.983
3,grasp,1,1,3967.59,2403.57,0,SUCCESS,1768754033.355
3,close_gripper,1,1,12.74,453.56,0,SUCCESS,1768754033.822
3,attach,1,1,0.00,0.00,0,SUCCESS,1768754033.822
3,lift,1,1,365.87,8204.26,0,SUCCESS,1768754042.392
3,pre_place,1,1,641.38,7953.62,0,SUCCESS,1768754050.988
3,place,1,1,1774.44,2506.01,0,SUCCESS,1768754055.269
3,open_gripper,1,1,9.74,402.75,0,SUCCESS,1768754055.682
3,detach,1,1,0.00,0.00,0,SUCCESS,1768754055.682
3,retreat,1,1,2330.52,1853.54,0,SUCCESS,1768754059.866
4,home,1,1,23.27,3653.42,0,SUCCESS,1768754064.544
4,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754064.545
4,pre_grasp,1,1,1135.00,2254.31,0,SUCCESS,1768754067.935
4,grasp,1,1,1049.20,6303.90,0,SUCCESS,1768754075.288
4,close_gripper,1,1,18.94,454.64,0,SUCCESS,1768754075.762
4,attach,1,1,0.00,0.00,0,SUCCESS,1768754075.763
4,lift,1,1,632.46,6104.63,0,SUCCESS,1768754082.500
4,pre_place,1,1,2452.61,4155.47,0,SUCCESS,1768754089.109
4,place,1,1,1439.14,2655.52,0,SUCCESS,1768754093.204
4,open_gripper,1,1,21.11,454.93,0,SUCCESS,1768754093.680
4,detach,1,1,0.00,0.00,0,SUCCESS,1768754093.682
4,retreat,1,1,2349.33,4555.59,0,SUCCESS,1768754100.587
5,home,1,1,23.97,4353.46,0,SUCCESS,1768754105.965
5,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754105.967
5,pre_grasp,1,1,136.37,2656.30,0,SUCCESS,1768754108.761
5,grasp,1,1,3081.51,6204.78,0,SUCCESS,1768754118.048
5,close_gripper,1,1,14.76,453.30,0,SUCCESS,1768754118.516
5,attach,1,1,0.00,0.00,0,SUCCESS,1768754118.516
5,lift,1,1,1154.31,8205.52,0,SUCCESS,1768754127.876
5,pre_place,1,1,2541.98,4407.14,0,SUCCESS,1768754134.826
5,place,1,1,1047.63,4357.24,0,SUCCESS,1768754140.231
5,open_gripper,1,1,24.21,410.77,0,SUCCESS,1768754140.667
5,detach,1,1,0.00,0.00,0,SUCCESS,1768754140.667
5,retreat,1,1,1237.62,6809.41,0,SUCCESS,1768754148.714
6,home,1,1,22.38,2212.13,0,SUCCESS,1768754151.949
6,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754151.950
6,pre_grasp,1,1,430.06,3356.50,0,SUCCESS,1768754155.737
6,grasp,1,1,1849.55,7264.21,1,SUCCESS,1768754170.623
6,close_gripper,1,1,24.65,504.67,0,SUCCESS,1768754171.153
6,attach,1,1,0.00,0.00,0,SUCCESS,1768754171.153
6,lift,1,1,525.20,2906.57,0,SUCCESS,1768754174.586
6,pre_place,1,1,1745.84,5157.11,0,SUCCESS,1768754181.489
6,place,1,1,3178.36,5456.42,0,SUCCESS,1768754190.124
6,open_gripper,1,1,18.07,453.73,0,SUCCESS,1768754190.596
6,detach,1,1,0.00,0.00,0,SUCCESS,1768754190.597
6,retreat,1,1,3143.09,4356.18,0,SUCCESS,1768754198.097
7,home,1,1,20.32,2554.65,0,SUCCESS,1768754201.673
7,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754201.675
7,pre_grasp,1,1,1030.81,4157.81,0,SUCCESS,1768754206.864
7,grasp,1,1,3054.79,8054.28,0,SUCCESS,1768754217.973
7,close_gripper,1,1,33.72,506.95,0,SUCCESS,1768754218.515
7,attach,1,1,0.00,0.00,0,SUCCESS,1768754218.515
7,lift,1,1,1134.29,3756.41,0,SUCCESS,1768754223.407
7,pre_place,1,1,2139.73,3105.66,0,SUCCESS,1768754228.652
7,place,1,1,2640.99,4907.60,0,SUCCESS,1768754236.201
7,open_gripper,1,1,21.72,458.36,0,SUCCESS,1768754236.682
7,detach,1,1,0.00,0.00,0,SUCCESS,1768754236.682
7,retreat,1,1,456.12,6256.03,0,SUCCESS,1768754243.394
8,home,1,1,14.83,3303.78,0,SUCCESS,1768754247.713
8,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754247.715
8,pre_grasp,1,1,1857.41,5007.15,0,SUCCESS,1768754254.580
8,grasp,1,1,533.24,5506.29,1,SUCCESS,1768754266.379
8,close_gripper,1,1,23.36,457.47,0,SUCCESS,1768754266.861
8,attach,1,1,0.00,0.00,0,SUCCESS,1768754266.861
8,lift,1,1,821.87,1857.29,0,SUCCESS,1768754269.540
8,pre_place,1,1,623.51,4005.11,0,SUCCESS,1768754274.169
8,place,1,1,4771.24,6404.95,0,SUCCESS,1768754285.346
8,open_gripper,1,1,24.24,405.58,0,SUCCESS,1768754285.776
8,detach,1,1,0.00,0.00,0,SUCCESS,1768754285.777
8,retreat,1,1,1957.55,6007.05,0,SUCCESS,1768754293.741
9,home,1,1,21.72,2907.71,0,SUCCESS,1768754297.672
9,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754297.674
9,pre_grasp,1,1,1525.78,1106.52,0,SUCCESS,1768754300.307
9,grasp,1,1,3548.86,3707.23,1,SUCCESS,1768754313.303
9,close_gripper,1,1,24.68,406.14,0,SUCCESS,1768754313.734
9,attach,1,1,0.00,0.00,0,SUCCESS,1768754313.734
9,lift,1,1,644.62,3505.73,0,SUCCESS,1768754317.886
9,pre_place,1,1,422.01,2110.38,0,SUCCESS,1768754320.418
9,place,1,1,2339.61,2706.69,0,SUCCESS,1768754325.465
9,open_gripper,0,0,27.15,0.00,2,PLAN_FAIL,1768754327.056
10,home,1,1,23.46,2605.41,0,SUCCESS,1768754330.686
10,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754330.687
10,pre_grasp,1,1,630.66,4458.44,0,SUCCESS,1768754335.776
10,grasp,1,1,1052.98,8955.32,2,SUCCESS,1768754357.358
10,close_gripper,1,1,17.02,59.14,0,SUCCESS,1768754357.434
10,attach,1,1,0.00,0.00,0,SUCCESS,1768754357.435
10,lift,1,1,346.52,8756.58,0,SUCCESS,1768754366.538
10,pre_place,1,1,637.10,7956.79,0,SUCCESS,1768754375.132
10,place,1,1,1130.30,1559.52,0,SUCCESS,1768754377.823
10,open_gripper,1,1,13.79,404.86,0,SUCCESS,1768754378.242
10,detach,1,1,0.00,0.00,0,SUCCESS,1768754378.242
10,retreat,1,1,528.73,2659.23,0,SUCCESS,1768754381.430
11,home,1,1,19.84,2312.41,0,SUCCESS,1768754384.764
11,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754384.765
11,pre_grasp,1,1,2153.13,3406.91,0,SUCCESS,1768754390.325
11,grasp,1,1,3583.59,4104.84,1,SUCCESS,1768754403.766
11,close_gripper,1,1,21.12,455.94,0,SUCCESS,1768754404.244
11,attach,1,1,0.00,0.00,0,SUCCESS,1768754404.244
11,lift,1,1,1946.35,5005.26,0,SUCCESS,1768754411.196
11,pre_place,1,1,425.75,3855.00,0,SUCCESS,1768754415.477
11,place,1,1,1626.77,8454.72,0,SUCCESS,1768754425.559
11,open_gripper,1,1,22.47,455.98,0,SUCCESS,1768754426.038
11,detach,1,1,0.00,0.00,0,SUCCESS,1768754426.038
11,retreat,1,1,1336.97,3606.57,0,SUCCESS,1768754430.982
12,home,1,1,21.03,2504.86,0,SUCCESS,1768754434.509
12,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754434.510
12,pre_grasp,1,1,3742.93,2005.28,0,SUCCESS,1768754440.258
12,grasp,0,0,5249.47,0.00,2,PLAN_FAIL,1768754457.517
13,home,1,1,9.70,2005.06,0,SUCCESS,1768754460.534
13,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754460.535
13,pre_grasp,1,1,1376.77,4711.91,0,SUCCESS,1768754466.624
13,grasp,1,1,3269.73,7355.40,0,SUCCESS,1768754477.249
13,close_gripper,1,1,12.53,405.59,0,SUCCESS,1768754477.668
13,attach,1,1,0.00,0.00,0,SUCCESS,1768754477.668
13,lift,1,1,31.59,1556.39,0,SUCCESS,1768754479.256
13,pre_place,1,1,825.87,2704.77,0,SUCCESS,1768754482.787
13,place,1,1,1241.58,3054.44,1,SUCCESS,1768754492.825
13,open_gripper,1,1,13.18,406.23,0,SUCCESS,1768754493.245
13,detach,1,1,0.00,0.00,0,SUCCESS,1768754493.245
13,retreat,1,1,522.26,6459.13,0,SUCCESS,1768754500.227
14,home,1,1,13.63,3954.85,0,SUCCESS,1768754505.197
14,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754505.198
14,pre_grasp,1,1,324.07,2156.36,0,SUCCESS,1768754507.678
14,grasp,1,1,1837.58,3859.66,0,SUCCESS,1768754513.376
14,close_gripper,1,1,11.42,405.08,0,SUCCESS,1768754513.793
14,attach,1,1,0.00,0.00,0,SUCCESS,1768754513.793
14,lift,1,1,1232.28,5859.44,0,SUCCESS,1768754520.885
14,pre_place,1,1,1026.77,5855.07,0,SUCCESS,1768754527.767
14,place,1,1,4639.35,5556.09,1,SUCCESS,1768754543.519
14,open_gripper,1,1,14.17,357.49,0,SUCCESS,1768754543.891
14,detach,1,1,0.00,0.00,0,SUCCESS,1768754543.891
14,retreat,1,1,2652.09,2655.21,0,SUCCESS,1768754549.199
15,home,1,1,23.85,3704.85,0,SUCCESS,1768754553.929
15,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754553.930
15,pre_grasp,1,1,424.48,3005.66,0,SUCCESS,1768754557.360
15,grasp,1,1,445.23,7056.71,1,SUCCESS,1768754570.623
15,close_gripper,1,1,23.73,455.90,0,SUCCESS,1768754571.103
15,attach,1,1,0.00,0.00,0,SUCCESS,1768754571.103
15,lift,1,1,1564.16,3606.35,0,SUCCESS,1768754576.274
15,pre_place,1,1,2126.63,4405.32,0,SUCCESS,1768754582.806
15,place,1,1,724.47,2157.02,0,SUCCESS,1768754585.688
15,open_gripper,1,1,11.70,405.50,0,SUCCESS,1768754586.106
15,detach,1,1,0.00,0.00,0,SUCCESS,1768754586.106
15,retreat,1,1,426.01,3205.64,0,SUCCESS,1768754589.738
16,home,1,1,25.06,3556.28,0,SUCCESS,1768754594.320
16,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754594.322
16,pre_grasp,1,1,3665.04,1605.23,0,SUCCESS,1768754599.592
16,grasp,1,1,4203.93,4905.24,0,SUCCESS,1768754608.702
16,close_gripper,1,1,22.36,405.00,0,SUCCESS,1768754609.130
16,attach,1,1,0.00,0.00,0,SUCCESS,1768754609.130
16,lift,1,1,430.62,3255.57,0,SUCCESS,1768754612.816
16,pre_place,1,1,639.07,4155.57,0,SUCCESS,1768754617.611
16,place,1,1,936.43,3809.62,0,SUCCESS,1768754622.358
16,open_gripper,1,1,21.87,410.55,0,SUCCESS,1768754622.790
16,detach,1,1,0.00,0.00,0,SUCCESS,1768754622.791
16,retreat,1,1,1541.78,2106.29,0,SUCCESS,1768754626.439
17,home,1,1,27.66,3005.35,0,SUCCESS,1768754630.474
17,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754630.475
17,pre_grasp,1,1,3757.62,4357.24,0,SUCCESS,1768754638.590
17,grasp,1,1,2558.06,7759.39,1,SUCCESS,1768754654.683
17,close_gripper,1,1,27.90,357.93,0,SUCCESS,1768754655.070
17,attach,1,1,0.00,0.00,0,SUCCESS,1768754655.070
17,lift,1,1,1547.61,2210.98,0,SUCCESS,1768754658.829
17,pre_place,1,1,939.74,4710.63,0,SUCCESS,1768754664.480
17,place,1,1,4172.95,3957.75,0,SUCCESS,1768754672.611
17,open_gripper,1,1,13.89,358.16,0,SUCCESS,1768754672.984
17,detach,1,1,0.00,0.00,0,SUCCESS,1768754672.984
17,retreat,1,1,528.65,3657.42,0,SUCCESS,1768754677.170
18,home,1,1,14.16,1756.41,0,SUCCESS,1768754679.941
18,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754679.942
18,pre_grasp,1,1,2133.92,3405.59,0,SUCCESS,1768754685.482
18,grasp,1,1,5162.32,2256.28,2,SUCCESS,1768754704.397
18,close_gripper,1,1,17.35,460.83,0,SUCCESS,1768754704.875
18,attach,1,1,0.00,0.00,0,SUCCESS,1768754704.875
18,lift,1,1,2438.53,6907.88,0,SUCCESS,1768754714.222
18,pre_place,1,1,1364.18,3157.43,0,SUCCESS,1768754718.744
18,place,1,1,1335.89,2261.30,0,SUCCESS,1768754722.341
18,open_gripper,1,1,27.56,457.25,0,SUCCESS,1768754722.827
18,detach,1,1,0.00,0.00,0,SUCCESS,1768754722.827
18,retreat,1,1,730.05,2807.49,0,SUCCESS,1768754726.365
19,home,1,1,29.69,3208.06,0,SUCCESS,1768754730.604
19,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754730.606
19,pre_grasp,1,1,2754.20,3411.74,0,SUCCESS,1768754736.772
19,grasp,1,1,1844.17,2508.00,0,SUCCESS,1768754741.125
19,close_gripper,1,1,26.30,410.79,0,SUCCESS,1768754741.562
19,attach,1,1,0.00,0.00,0,SUCCESS,1768754741.563
19,lift,1,1,1041.21,2156.90,0,SUCCESS,1768754744.761
19,pre_place,1,1,1938.51,2906.83,0,SUCCESS,1768754749.607
19,place,1,1,529.90,2707.65,0,SUCCESS,1768754752.845
19,open_gripper,1,1,26.29,408.60,0,SUCCESS,1768754753.281
19,detach,1,1,0.00,0.00,0,SUCCESS,1768754753.281
19,retreat,1,1,939.65,2907.97,0,SUCCESS,1768754757.129
20,home,1,1,24.08,2008.23,0,SUCCESS,1768754760.162
20,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754760.164
20,pre_grasp,1,1,1334.26,2208.15,0,SUCCESS,1768754763.707
20,grasp,1,1,2677.91,4809.96,0,SUCCESS,1768754771.195
20,close_gripper,1,1,31.02,409.07,0,SUCCESS,1768754771.635
20,attach,1,1,0.00,0.00,0,SUCCESS,1768754771.636
20,lift,1,1,2866.45,4756.89,0,SUCCESS,1768754779.259
20,pre_place,1,1,845.70,2208.75,0,SUCCESS,1768754782.314
20,place,1,1,2538.63,2509.06,0,SUCCESS,1768754787.363
20,open_gripper,1,1,38.54,459.89,0,SUCCESS,1768754787.862
20,detach,1,1,0.00,0.00,0,SUCCESS,1768754787.862
20,retreat,1,1,1190.61,2256.38,0,SUCCESS,1768754791.309
21,home,1,1,23.02,1925.92,0,SUCCESS,1768754794.260
21,reset_object,1,1,0.00,0.00,0,SUCCESS,1768754794.262
21,pre_grasp,1,1,1567.16,4757.67,0,SUCCESS,1768754800.587
21,grasp,1,1,1344.86,7806.10,0,SUCCESS,1768754809.738
